pais,sector,isco,empleo,n_obs,alpha,beta,zeta,capa,label
Costa Rica,Resto,2352,5177.75,89,0.1372222222222222,0.3105555555555555,0.4477777777777777,Profesionales e ingeniería,Special needs teachers
Costa Rica,Resto,3432,5071.5,39,0.0,0.3834567901234567,0.3834567901234567,Técnicos y profesionales asociados,Interior designers and decorators
Costa Rica,Resto,4226,5044.5,45,0.2105263157894737,0.5263157894736842,0.7368421052631579,Apoyo administrativo,Receptionists (general)
Costa Rica,Resto,5321,5017.5,62,0.1185383244206773,0.1412655971479501,0.2598039215686274,Servicios y ventas,Health care assistants
Costa Rica,Resto,6113,5015.5,59,0.0604395604395604,0.1382783882783883,0.1987179487179487,Agropecuario calificado,"Gardeners, horticultural and nursery growers"
Costa Rica,Resto,8342,5003.5,99,0.0071428571428571,0.0107142857142857,0.0178571428571428,Operadores de planta y máquinas,Earthmoving and related plant operators
Costa Rica,Resto,3423,4912.25,66,0.1016231435365908,0.2650247086560857,0.3666478521926765,Técnicos y profesionales asociados,Fitness and recreation instructors and program leaders
Costa Rica,Resto,9613,4910.5,26,0.1642494019138756,0.2457012559808612,0.40995065789473684,Ocupaciones elementales,Sweepers and related labourers
Costa Rica,Resto,4214,4739.25,41,0.2714285714285714,0.6,0.8714285714285714,Apoyo administrativo,Debt-collectors and related workers
Costa Rica,Resto,7534,4614.0,47,0.1363636363636364,0.2272727272727273,0.3636363636363637,Oficios y artesanía,Upholsterers and related workers
Costa Rica,Resto,2431,4613.0,25,0.44359410430839,0.7079081632653061,1.0,Profesionales e ingeniería,Advertising and marketing professionals
Costa Rica,Resto,3123,4539.25,105,0.0333333333333333,0.4166666666666667,0.45,Técnicos y profesionales asociados,Construction supervisors
Costa Rica,Resto,2423,4524.25,41,0.1571051497522086,0.4940442523163111,0.6511494020685198,Profesionales e ingeniería,Personnel and careers professionals
Costa Rica,Resto,2512,4477.75,43,0.7947368421052632,0.8675438596491228,1.0,Profesionales e ingeniería,Software developers
Costa Rica,Resto,4323,4423.5,62,0.3076923076923077,0.6538461538461539,0.9615384615384616,Apoyo administrativo,Transport clerks
Costa Rica,Resto,3212,4418.5,43,0.0733333333333333,0.271159420289855,0.3444927536231884,Técnicos y profesionales asociados,Medical and pathology laboratory technicians
Costa Rica,Resto,7127,4413.25,102,0.056060606060606,0.2659090909090909,0.321969696969697,Oficios y artesanía,Air conditioning and refrigeration mechanics
Costa Rica,Resto,7413,4382.75,68,0.0227272727272727,0.2159090909090909,0.2386363636363636,Oficios y artesanía,Electrical line installers and repairers
Costa Rica,Resto,2634,4380.5,55,0.0641666666666666,0.4407200292397661,0.5048866959064328,Profesionales e ingeniería,Psychologists
Costa Rica,Resto,2161,4334.75,37,0.0833333333333333,0.5,0.5833333333333334,Profesionales e ingeniería,Building architects
Costa Rica,Resto,8344,4312.0,77,0.0472488038277512,0.1860047846889952,0.2332535885167464,Operadores de planta y máquinas,Lifting truck operators
Costa Rica,Resto,1345,4303.25,100,0.0328663793103448,0.4436961206896551,0.4765624999999999,Dirección y gerencia,Education managers
Costa Rica,Resto,2151,4278.0,30,0.2272727272727273,0.5454545454545454,0.7727272727272727,Profesionales e ingeniería,Electrical engineers
Costa Rica,Resto,7126,4163.25,102,0.0098039215686274,0.0570728291316526,0.0668767507002801,Oficios y artesanía,Plumbers and pipe fitters
Costa Rica,Resto,3422,4122.25,38,0.1626984126984127,0.3439484126984127,0.5066468253968254,Técnicos y profesionales asociados,"Sports coaches, instructors and officials"
Costa Rica,Resto,2264,3980.5,35,0.0616666666666666,0.22375,0.2854166666666666,Profesionales e ingeniería,Physiotherapists
Costa Rica,Resto,7322,3923.75,29,0.2173913043478261,0.3260869565217391,0.5434782608695652,Oficios y artesanía,Printers
Costa Rica,Resto,7125,3908.5,42,0.0,0.0925925925925925,0.0925925925925925,Oficios y artesanía,Glaziers
Costa Rica,Resto,9611,3906.25,35,0.1409988038277512,0.2726525119617224,0.4136513157894737,Ocupaciones elementales,Garbage and recycling collectors
Costa Rica,Resto,5245,3868.25,77,0.1472488038277512,0.2632775119617224,0.4105263157894736,Servicios y ventas,Service station attendants
Costa Rica,Resto,7515,3855.25,42,0.1287878787878788,0.2310606060606061,0.359848484848485,Oficios y artesanía,Food and beverage tasters and graders
Costa Rica,Resto,2262,3836.75,51,0.1428571428571428,0.4285714285714285,0.5714285714285713,Profesionales e ingeniería,Pharmacists
Costa Rica,Resto,6222,3733.75,131,0.0666666666666666,0.1666666666666666,0.2333333333333333,Agropecuario calificado,Inland and coastal waters fishery workers
Costa Rica,Resto,4221,3647.5,49,0.1104497354497354,0.5142195767195767,0.6246693121693122,Apoyo administrativo,Travel consultants and clerks
Costa Rica,Resto,9510,3581.25,82,0.0,0.0416666666666666,0.0416666666666666,Ocupaciones elementales,Street and related service workers
Costa Rica,Resto,5113,3580.5,90,0.1479188166494668,0.3187134502923976,0.4666322669418645,Servicios y ventas,Travel guides
Costa Rica,Resto,5212,3476.5,64,0.119047619047619,0.1964285714285714,0.3154761904761904,Servicios y ventas,Street food salespersons
Costa Rica,Resto,7131,3361.25,33,0.0263157894736842,0.0388157894736842,0.0651315789473684,Oficios y artesanía,Painters and related workers
Costa Rica,Resto,2131,3355.5,22,0.085758377425044,0.4490001253890143,0.5347585028140583,Profesionales e ingeniería,"Biologists, botanists, zoologists and related professionals"
Costa Rica,Resto,9122,3109.25,76,0.0476190476190476,0.0714285714285714,0.119047619047619,Ocupaciones elementales,Vehicle cleaners
Costa Rica,Resto,2412,3099.0,25,0.0404761904761904,0.4987179487179487,0.5391941391941392,Profesionales e ingeniería,Financial and investment advisers
Costa Rica,Resto,5413,3075.0,75,0.2048494983277592,0.2663043478260869,0.4711538461538461,Servicios y ventas,Prison guards
Costa Rica,Resto,8183,2950.25,17,0.0,0.0,0.0,Operadores de planta y máquinas,"Packing, bottling and labelling machine operators"
Costa Rica,Resto,1120,2934.25,31,0.0612244897959183,0.4801920768307323,0.5414165666266506,Dirección y gerencia,Managing directors and chief executives
Costa Rica,Resto,2265,2910.5,35,0.1071428571428571,0.5178571428571429,0.625,Profesionales e ingeniería,Dieticians and nutritionists
Costa Rica,Resto,5242,2884.5,50,0.0833333333333333,0.1666666666666667,0.25,Servicios y ventas,Sales demonstrators
Costa Rica,Resto,8160,2820.75,36,0.0743414418398938,0.0783414418398938,0.1526828836797877,Operadores de planta y máquinas,Food and related products machine operators
Costa Rica,Resto,3434,2795.25,30,0.1437728937728937,0.3809523809523809,0.5247252747252746,Técnicos y profesionales asociados,Chefs
Costa Rica,Resto,3513,2761.0,22,0.4615384615384616,0.6346153846153846,1.0,Técnicos y profesionales asociados,Computer network and systems technicians
Costa Rica,Resto,3511,2740.5,19,0.4790697674418605,0.7372093023255814,1.0,Técnicos y profesionales asociados,Information and communications technology operations technicians
Costa Rica,Resto,3331,2694.25,25,0.2272727272727272,0.5,0.7272727272727273,Técnicos y profesionales asociados,Clearing and forwarding agents
Costa Rica,Resto,2132,2633.0,57,0.0222222222222222,0.4093827160493826,0.4316049382716048,Profesionales e ingeniería,"Farming, forestry and fisheries advisers"
Costa Rica,Resto,3323,2598.5,44,0.0619883040935672,0.4967836257309941,0.5587719298245614,Técnicos y profesionales asociados,Buyers
Costa Rica,Resto,5164,2590.5,51,0.1013822993312157,0.2217157197807352,0.323098019111951,Servicios y ventas,Pet groomers and animal care workers
Costa Rica,Resto,3332,2589.25,20,0.0952380952380952,0.4761904761904762,0.5714285714285714,Técnicos y profesionales asociados,Conference and event planners
Costa Rica,Resto,4224,2546.75,61,0.1625,0.46875,0.63125,Apoyo administrativo,Hotel receptionists
Costa Rica,Resto,1211,2400.5,13,0.0,0.4841269841269841,0.4841269841269841,Dirección y gerencia,Finance managers
Costa Rica,Resto,3213,2384.25,52,0.2857142857142857,0.4047619047619048,0.6904761904761905,Técnicos y profesionales asociados,Pharmaceutical technicians and assistants
Costa Rica,Resto,2212,2374.25,12,0.0421366252337308,0.3755343413821616,0.4176709666158923,Profesionales e ingeniería,Specialist medical practitioners
Costa Rica,Resto,9331,2369.75,46,0.1732026143790849,0.2165032679738562,0.3897058823529411,Ocupaciones elementales,Hand and pedal vehicle drivers
